player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points,now_cost,selected_by_percent
1,571752,Jakub,Vinarcík,Vinarcík,,1,5674,FC Arouca,FCA,1,GK,a,,90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,2,39,0.5
2,429884,Nico,Mantl,Mantl,,1,5674,FC Arouca,FCA,1,GK,n,Emprestado / On Loan,720,0,0,2,18,1,0,0,0,0,26,0,0,0,0,82,21,49,0.6
3,474813,João Nuno,Figueiredo Valido,João Valido,,1,5674,FC Arouca,FCA,1,GK,a,,810,0,0,0,24,0,1,0,0,0,25,0,0,0,0,97,18,39,5.6
4,490862,José,Fontán,Fontán,,1,5674,FC Arouca,FCA,2,DEF,s,Acumulação de Amarelos / Yellow Card Accumulation,2542,2,3,5,56,0,0,0,5,3,0,3,26,0,14,315,92,45,1.6
5,614241,Matías,Rocha,Rocha,,1,5674,FC Arouca,FCA,2,DEF,a,,841,0,0,2,17,0,0,0,4,1,0,1,8,0,3,93,23,40,0.3
6,437745,Boris,Popovic,Popovic,,1,5674,FC Arouca,FCA,2,DEF,a,,1156,1,0,1,34,0,0,0,3,0,0,0,9,0,1,125,32,38,0.8
7,476479,Amadou,Dante,Dante,,1,5674,FC Arouca,FCA,2,DEF,a,,830,0,0,1,23,0,0,0,0,0,0,2,4,0,8,80,28,44,0.2
8,423863,Carlos Alexandre,Reis Pinto,Alex Pinto,,1,5674,FC Arouca,FCA,2,DEF,u,Transferido Definitivamente / Permanent Transfer,334,0,0,0,16,1,0,0,2,1,0,0,0,0,1,26,-3,39,0.4
9,489087,Tiago Alexandre,de Sousa Esgaio,Tiago Esgaio,,1,5674,FC Arouca,FCA,2,DEF,a,,2460,3,5,7,49,0,0,0,10,0,0,10,18,2,27,244,118,44,1.9
10,503783,Miguel,Puche,Puche,,1,5674,FC Arouca,FCA,3,MID,a,,708,1,1,1,19,0,0,0,4,0,0,4,2,1,14,50,43,50,0.1
11,474841,Alfonso,Trezza,Trezza,,1,5674,FC Arouca,FCA,3,MID,a,,2314,9,5,6,46,0,0,0,2,1,0,5,2,2,21,115,128,58,20.2
12,482684,Brian,Mansilla,Mansilla,,1,5674,FC Arouca,FCA,3,MID,a,,315,0,1,0,8,0,0,0,1,0,0,1,0,0,6,25,24,47,0.1
13,535275,Taichi,Fukui,Fukui,,1,5674,FC Arouca,FCA,3,MID,a,,2518,4,3,6,53,1,0,0,2,1,0,3,11,0,17,219,103,43,4.1
14,467005,Pablo,Gozálbez,Gozálbez,,1,5674,FC Arouca,FCA,3,MID,a,,1053,1,3,4,19,0,0,0,4,0,0,6,2,1,20,62,60,44,0.0
15,210191,Mamadou,Loum,Loum,,1,5674,FC Arouca,FCA,3,MID,u,Transferência Definitiva / Permanent Transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.1
16,49973,David,Martins Simão,David Simão,,1,5674,FC Arouca,FCA,3,MID,u,Transferido Definitivamente / Permanent Transfer,655,0,0,1,20,0,0,0,4,0,0,1,1,0,7,55,18,48,0.4
17,597081,Pedro,Carvalho Santos,Pedro Santos,,1,5674,FC Arouca,FCA,3,MID,a,,762,0,0,3,15,0,0,0,4,0,0,1,5,0,8,74,28,48,0.3
18,650930,Dylan,Nandín,Nandín,,1,5674,FC Arouca,FCA,4,FWD,a,,913,1,2,2,24,0,0,0,2,1,0,2,0,0,12,32,36,58,0.4
19,493020,Arnau,Solà Mateu,Arnau Solà,,1,5674,FC Arouca,FCA,2,DEF,n,Emprestado / On Loan,585,0,1,2,14,0,0,0,1,0,0,2,4,0,7,57,25,39,0.1
20,569675,Lee,Hyun-ju,Lee Hyun-ju,,1,5674,FC Arouca,FCA,3,MID,a,,2006,7,3,7,40,0,0,0,5,2,0,1,1,2,12,88,96,53,1.0
21,466464,Naïs,Djouahra,Naïs Djouahra,,1,5674,FC Arouca,FCA,3,MID,a,,2726,6,7,10,52,0,0,0,2,0,0,10,3,1,30,133,140,54,8.1
22,499634,Uladzislau,Marozau,Marozau,,1,5674,FC Arouca,FCA,4,FWD,n,Emprestado / On Loan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.0
23,463055,Iván,Martinez Gonzalvez,Barbero,,1,5674,FC Arouca,FCA,4,FWD,a,,1885,8,2,6,35,0,0,1,5,0,0,4,1,2,19,76,90,55,1.0
24,637702,Mateo,Flores Lozano,Mateo Flores,,1,5674,FC Arouca,FCA,3,MID,a,,189,0,0,0,6,0,0,0,2,0,0,0,0,0,1,19,10,44,0.0
407,674274,José Augusto,Silva,José Silva,,1,5674,FC Arouca,FCA,2,DEF,a,,35,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,3,39,0.0
590,491008,Diogo,Pinheiro Monteiro,Diogo Monteiro,,1,5674,FC Arouca,FCA,2,DEF,a,,294,0,0,0,7,0,0,0,1,0,0,0,1,0,2,28,10,44,0.0
634,591123,Omar Fayed Abdelwahab,El Rakhawy,Omar Fayed,,1,5674,FC Arouca,FCA,2,DEF,a,,550,0,0,1,17,0,0,0,4,0,0,0,6,0,0,73,13,45,0.0
635,629448,Espen,van Ee,Espen van Ee,,1,5674,FC Arouca,FCA,3,MID,a,,1871,2,1,7,31,0,0,0,7,0,0,1,15,1,13,205,77,45,0.0
636,613921,Romualdas,Jansonas,Romualdas Jansona,,1,5674,FC Arouca,FCA,4,FWD,n,Emprestado / On Loan,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,45,0.0
676,166377,Bas,Kuipers,Bas Kuipers,,1,5674,FC Arouca,FCA,2,DEF,a,,1347,1,2,5,18,0,0,0,3,0,0,1,1,0,8,64,57,44,0.0
677,199259,Javi,Sánchez,Javi Sánchez,,1,5674,FC Arouca,FCA,2,DEF,a,,1225,0,1,5,15,0,0,0,6,0,0,1,11,0,6,148,53,45,0.0
685,567889,Jesús,Santiago Pérez,Yellu Santiago,,1,5674,FC Arouca,FCA,3,MID,a,,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,50,0.0
692,204838,Ignacio,de Arruabarrena,Ignacio,,1,5674,FC Arouca,FCA,1,GK,a,,1350,0,0,4,21,0,0,0,4,0,37,0,0,0,1,170,46,45,0.1
739,555914,Fally,Mayulu,Mayulu,,1,5674,FC Arouca,FCA,4,FWD,a,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,50,0.0
748,732655,Bruno,Gomes Duarte,Bruno,Bruno Duarte,1,5674,FC Arouca,FCA,4,FWD,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0
25,52981,Pedro José,da Silva Trigueira,Trigueira,,2,20477,AFS,AFS,1,GK,a,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,0.9
26,181226,Simão,Verza Bertelli,Simão,,2,20477,AFS,AFS,1,GK,a,,1072,0,0,1,26,0,0,0,2,0,32,0,0,0,1,126,24,43,0.4
27,515582,Cristian,Devenish,Devenish,,2,20477,AFS,AFS,2,DEF,a,,2164,0,0,2,53,0,0,0,6,1,0,0,29,0,5,324,57,39,2.1
28,154075,Aderllan Leandro,de Jesus Santos,Aderllan Santos,,2,20477,AFS,AFS,2,DEF,a,,1029,1,0,3,17,0,0,0,2,0,0,0,14,0,1,173,51,43,0.7
29,160187,Christian,Neiva Afonso,Kiki Afonso,,2,20477,AFS,AFS,2,DEF,a,,1521,0,0,1,42,0,0,0,2,0,0,3,12,0,15,177,46,43,0.4
30,479964,John,Mercado,Mercado,,2,20477,AFS,AFS,3,MID,u,Transferido Definitivamente / Permanent Transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0.1
