fixture_id,fixture_opta_id,gameweek,team_h_id,team_h_opta_id,team_h_name,team_h_short_name,team_a_id,team_a_opta_id,team_a_name,team_a_short_name,team_h_score,team_a_score,kickoff_time,finished,started,team_h_difficulty,team_a_difficulty
17,2654445,,12,372,SC Braga,SCB,8,666,Gil Vicente FC,GVFC,,,,False,,,
1,2654434,1,5,2273,Estoril Praia,EPF,7,6644,FC Famalicão,FCF,1,1,2026-08-07T19:15:00Z,True,True,,
3,2654436,1,17,740,Marítimo M.,CSM,3,5191,Casa Pia AC,CPAC,1,0,2026-08-08T14:30:00Z,True,True,,
4,2654441,1,14,371,Vitória SC,VSC,1,5674,FC Arouca,FCA,0,1,2026-08-08T17:00:00Z,True,True,,
2,2654433,1,6,17370,Estrela Amadora,CFEA,13,255,Sporting CP,SCP,2,2,2026-08-08T19:30:00Z,True,True,,
6,2654438,1,15,201,FC Porto,FCP,16,3531,FC Alverca,ALV,2,0,2026-08-09T17:00:00Z,True,True,,
7,2654435,1,8,666,Gil Vicente FC,GVFC,10,2847,Rio Ave FC,RAFC,1,0,2026-08-09T19:30:00Z,True,True,,
8,2654437,1,9,3536,Moreirense FC,MFC,12,372,SC Braga,SCB,2,2,2026-08-09T19:30:00Z,True,True,,
5,2654440,1,2,251,SL Benfica,SLB,18,3530,Académico,AVFC,2,2,2026-08-09T19:30:00Z,True,True,,
9,2654439,1,11,3084,Santa Clara,CDSC,4,2003,CD Nacional,CDN,2,2,2026-08-10T19:15:00Z,True,True,,
10,2654450,2,13,255,Sporting CP,SCP,14,371,Vitória SC,VSC,3,2,2026-08-14T19:15:00Z,True,True,,
12,2654443,2,16,3531,FC Alverca,ALV,6,17370,Estrela Amadora,CFEA,2,2,2026-08-15T14:30:00Z,True,True,,
11,2654442,2,18,3530,Académico,AVFC,11,3084,Santa Clara,CDSC,0,1,2026-08-15T17:00:00Z,True,True,,
13,2654449,2,10,2847,Rio Ave FC,RAFC,15,201,FC Porto,FCP,0,2,2026-08-15T19:30:00Z,True,True,,
14,2654448,2,4,2003,CD Nacional,CDN,5,2273,Estoril Praia,EPF,2,0,2026-08-16T14:30:00Z,True,True,,
18,2654444,2,1,5674,FC Arouca,FCA,9,3536,Moreirense FC,MFC,4,0,2026-08-16T17:00:00Z,True,True,,
16,2654447,2,7,6644,FC Famalicão,FCF,17,740,Marítimo M.,CSM,1,2,2026-08-16T19:30:00Z,True,True,,
15,2654446,2,3,5191,Casa Pia AC,CPAC,2,251,SL Benfica,SLB,0,7,2026-08-17T19:15:00Z,True,True,,
23,2654454,3,17,740,Marítimo M.,CSM,18,3530,Académico,AVFC,2,2,2026-08-22T14:30:00Z,True,True,,
19,2654452,3,5,2273,Estoril Praia,EPF,10,2847,Rio Ave FC,RAFC,0,2,2026-08-22T17:00:00Z,True,True,,
